reference,name,Digikey PN,number
"R224,R3,R201,R211,R221,R231,R101,R111,R121 R223,R232,R233,R212,R215,R204,R205,R4,R131,R2*1,R1*1",0R,311-0.0LBCT-ND,21
J7,B3B-XH-A(LF)(SN),455-2248-ND,1
J7,B3B-XH-A(LF)(SN) mating,455-2219-ND,1
"J105,J2*0",MOLEX_FFC-14,WM1442CT-ND,6
U2*0,ADG728,ADG728BRUZ-ND,4
U1*0,SPV1040,497-11417-ND,8
L1*0,"L_10u0_10%_1.42A_2-SMD,",495-5656-1-ND,8
R1*5,1M0,RG20P1.0MBCT-ND,8
D1*0,SMM4F5.0A-TR,497-15660-1-ND,8
C1*5,4u7F,587-1302-1-ND,8
"C1*4,C1*0",10uF,445-7658-1-ND,16
R1*4,10m0,WSLP-.01CT-ND,8
"R1*2, R1*3, R1*0",1k0,RG20P1.0KBCT-ND,24
"C1*3, C1*2",1u0F,445-1358-1-ND,16
C1*1,100nF,445-14401-1-ND,8
R1*6,357k,P357KDACT-ND,8
